입영월,군사특기명,입영부대,접수인원,지원인원,남은인원,커트라인
2023년4월,무선전송장비운용/정비,육군훈련소,63,188,125,64
2023년4월,이동통신장비운용/정비,육군훈련소,70,44,-26,54
2023년4월,정보통신망관리장비운용/정비,육군훈련소,13,73,60,70
2023년4월,교환시설운용/정비,육군훈련소,14,35,21,62
2023년4월,MW운용/정비,육군훈련소,11,131,120,93
2023년4월,위성운용/정비,육군훈련소,22,102,80,70
2023년4월,레이다운용/정비,육군훈련소,20,69,49,63
2023년4월,네트워크운용/정비,육군훈련소,51,165,114,66
2023년4월,전술C4I운용/정비,육군훈련소,71,176,105,62
2023년4월,정보체계운용/정비,육군훈련소,36,116,80,64
2023년4월,기동헬기운용,육군훈련소,32,82,50,64
2023년4월,화생방제독,육군훈련소,90,194,104,62
2023년4월,총기정비,육군훈련소,6,21,15,84
2023년4월,화포정비,육군훈련소,1,3,2,78
2023년4월,광학기재정비,육군훈련소,6,50,44,86
2023년4월,감시장비정비,육군훈련소,3,19,16,67
2023년4월,전차정비,육군훈련소,6,17,11,64
2023년4월,자주포야전정비,육군훈련소,4,6,2,60
2023년4월,장갑차야전정비,육군훈련소,2,3,1,58
2023년4월,유선장비정비,육군훈련소,7,37,30,65
2023년4월,무선장비정비,육군훈련소,9,56,47,76
2023년4월,차량정비,육군훈련소,18,87,69,82
2023년4월,공병장비정비,육군훈련소,6,15,9,60
2023년4월,발전기정비,육군훈련소,3,23,20,88
2023년4월,용접/기계공작,육군훈련소,2,44,42,90
2023년4월,화생방장비정비,육군훈련소,3,16,13,67
2023년4월,의무장비정비,육군훈련소,7,74,67,93
2023년4월,탄약관리,육군훈련소,131,244,113,60
2023년4월,장비수리부속공구보급,육군훈련소,17,71,54,65
2023년4월,편성보급,육군훈련소,33,122,89,62
2023년4월,영현등록,육군훈련소,4,16,12,68
2023년4월,지원보급,육군훈련소,88,200,112,60
2023년4월,연료관리,육군훈련소,50,92,42,58
2023년4월,물자근무지원,육군훈련소,15,80,65,65
2023년4월,조리,육군훈련소,196,437,241,52
2023년4월,수송운용(차량운전),육군훈련소,793,3565,2772,103
2023년4월,수송운용(차량운전),1사단,61,341,280,107
2023년4월,수송운용(차량운전),25사단,61,323,262,105
2023년4월,수송운용(차량운전),9사단,61,399,338,107
2023년4월,수송운용(차량운전),3사단,27,137,110,101
2023년4월,수송운용(차량운전),6사단,64,310,246,102
2023년4월,수송운용(차량운전),5사단,61,302,241,104
2023년4월,수송운용(차량운전),28사단,61,317,256,104
2023년4월,수송운용(차량운전),51사단,33,380,347,109
2023년4월,수송운용(차량운전),55사단,50,558,508,110
2023년4월,견인차량운전,육군훈련소,30,76,46,99
2023년4월,지게차운전,육군훈련소,28,98,70,70
2023년4월,차륜형장갑차운전,육군훈련소,34,70,36,96
2023년4월,차량부대정비,육군훈련소,47,82,35,60
2023년4월,K-53계열차량운전,육군훈련소,7,16,9,95
2023년4월,구난차량운전,육군훈련소,35,84,49,98
2023년4월,항만운용,육군훈련소,11,72,61,77
2023년4월,선박운용,육군훈련소,3,19,16,69
2023년4월,군사경찰,육군훈련소,83,340,257,52
2023년4월,재정회계,육군훈련소,9,96,87,80
2023년4월,일반의무,육군훈련소,94,1475,1381,75
2023년4월,전기설비(중졸),육군훈련소,1,0,-1,0
2023년4월,용접/기계공작(중졸),육군훈련소,1,1,0,50
2023년4월,조리(중졸),육군훈련소,6,0,-6,0
2023년4월,수송운용(중졸),육군훈련소,40,1,-39,46
2023년4월,견인차량운전(중졸),육군훈련소,2,0,-2,0
2023년4월,지게차운전(중졸),육군훈련소,2,0,-2,0
2023년4월,차량부대정비(중졸),육군훈련소,5,0,-5,0
2023년4월,구난차량운전(중졸),육군훈련소,5,0,-5,0
2023년4월,선박운용(중졸),육군훈련소,1,0,-1,0
2023년4월,전문치과,육군훈련소,2,7,5,77
2023년4월,전문임상병리,육군훈련소,2,4,2,71
2023년4월,전문방사선촬영,육군훈련소,5,5,0,76
2023년4월,전문약제,육군훈련소,15,31,16,80
2023년4월,전문물리치료,육군훈련소,3,6,3,78
2023년4월,신호정보/전자전운용,육군훈련소,45,132,87,65
2023년5월,K계열전차승무,육군훈련소,95,126,31,46
2023년5월,M계열전차승무,육군훈련소,29,36,7,46
2023년5월,장갑차조종,육군훈련소,118,146,28,46
2023년5월,장갑차부대정비,육군훈련소,12,39,27,65
